parties,nv,gate,pcs,prover_time,verifier_time,comm,mem,proof_size_compressed,proof_size_uncompressed
32,22,vanilla,mkzg,434381,3690,645160,19421964,10946,11778
32,22,vanilla,dory,830644,12899,1552918,9903652,48898,53058
32,22,jellyfish,mkzg,651181,3884,871336,19594080,14306,15202
32,22,jellyfish,dory,1082131,13028,1798934,10123952,52962,57122
32,23,vanilla,mkzg,779495,3706,678038,19708060,11410,12274
32,23,vanilla,dory,1378444,12944,1583812,10155376,49330,53490
32,23,jellyfish,mkzg,1198082,3930,915126,20046760,14898,15826
32,23,jellyfish,dory,1852656,13028,1840740,10539052,53522,57682
32,24,vanilla,mkzg,1172249,3893,710916,20653600,11874,12770
32,24,vanilla,dory,2114336,13717,1711072,10862332,52354,56802
32,24,jellyfish,mkzg,1838420,3893,958916,21249420,15490,16450
32,24,jellyfish,dory,3019592,13942,1978912,11371188,56674,61122
32,25,vanilla,mkzg,2222429,4014,743794,20999496,12338,13266
32,25,vanilla,dory,3884953,13775,1741966,11611380,52786,57234
32,25,jellyfish,mkzg,3550350,4010,1002706,22113984,16082,17074
32,25,jellyfish,dory,5751881,14032,2020718,12728952,57234,61682
32,26,vanilla,mkzg,4138295,3901,776672,22485008,12802,13762
32,26,vanilla,dory,6419724,15180,1869226,13131472,55810,60546
32,26,jellyfish,mkzg,6697551,4018,1046496,25260072,16674,17698
32,26,jellyfish,dory,9889663,15493,2158890,15858652,60386,65122
16,22,vanilla,mkzg,772889,3800,326358,19718576,10946,11778
16,22,vanilla,dory,1345296,12053,764724,10164916,46306,50178
16,22,jellyfish,mkzg,1180375,3686,441078,20041928,14306,15202
16,22,jellyfish,dory,1840935,12251,889044,10477564,50370,54242
16,23,vanilla,mkzg,1161999,3672,342276,20653584,11410,12274
16,23,vanilla,dory,2075978,12885,826320,10853536,49330,53490
16,23,jellyfish,mkzg,1838635,3799,462276,21253408,14898,15826
16,23,jellyfish,dory,2999904,13061,955920,11474712,53522,57682
16,24,vanilla,mkzg,2210140,3662,358194,20998364,11874,12770
16,24,vanilla,dory,3846649,12859,841278,11582060,49762,53922
16,24,jellyfish,mkzg,3545369,3685,483474,22113768,15490,16450
16,24,jellyfish,dory,5696926,13062,976158,12731420,54082,58242
16,25,vanilla,mkzg,4081197,3814,374112,22506244,12338,13266
16,25,vanilla,dory,6337987,13798,902874,13093380,52786,57234
16,25,jellyfish,mkzg,6692534,3848,504672,25258548,16082,17074
16,25,jellyfish,dory,9784690,13960,1043034,15872788,57234,61682
16,26,vanilla,mkzg,7818994,3796,390030,25271020,12802,13762
16,26,vanilla,dory,11859630,13824,917832,15717544,53218,57666
16,26,jellyfish,mkzg,13056314,3866,525870,30798020,16674,17698
16,26,jellyfish,dory,18965126,13988,1063272,21290240,57794,62242
8,22,vanilla,mkzg,1140975,3734,159044,20607900,10946,11778
8,22,vanilla,dory,2019112,12048,385032,10832228,46306,50178
8,22,jellyfish,mkzg,1815443,3675,215044,21249028,14306,15202
8,22,jellyfish,dory,2931882,12264,445512,11443752,50370,54242
8,23,vanilla,mkzg,2153820,3770,166482,20978216,11410,12274
8,23,vanilla,dory,3743113,12098,392022,11541016,46738,50610
8,23,jellyfish,mkzg,3502588,3664,224946,22114136,14898,15826
8,23,jellyfish,dory,5583001,12257,454966,12726472,50930,54802
8,24,vanilla,mkzg,4080231,3738,173920,22443776,11874,12770
8,24,vanilla,dory,6252248,12850,420786,13026084,49762,53922
8,24,jellyfish,mkzg,6681314,3822,234848,25258384,15490,16450
8,24,jellyfish,dory,9696849,13141,486194,15849528,54082,58242
8,25,vanilla,mkzg,7707196,3842,181358,25230252,12338,13266
8,25,vanilla,dory,11777536,12883,427776,15751768,50194,54354
8,25,jellyfish,mkzg,12895220,3987,244750,30776428,16082,17074
8,25,jellyfish,dory,18670359,13109,495648,21286952,54642,58802
8,26,vanilla,mkzg,15311969,3892,188796,30730548,12802,13762
8,26,vanilla,dory,20615219,13803,456540,21243692,53218,57666
8,26,jellyfish,mkzg,26099399,3683,254652,41694620,16674,17698
8,26,jellyfish,dory,33827328,14102,526876,32370544,57794,62242
4,22,vanilla,mkzg,2137156,3579,71202,20916628,10946,11778
4,22,vanilla,dory,3676844,11581,167970,11483332,43714,47298
4,22,jellyfish,mkzg,3467619,3827,96258,22114044,14306,15202
4,22,jellyfish,dory,5512847,11806,194946,12716140,47778,51362
4,23,vanilla,mkzg,3985007,3586,74400,22423388,11410,12274
4,23,vanilla,dory,6149623,12075,180318,13038268,46738,50610
4,23,jellyfish,mkzg,6657327,3794,100512,25238340,14898,15826
4,23,jellyfish,dory,9608588,12285,208350,15857344,50930,54802
4,24,vanilla,mkzg,7672345,3641,77598,25188676,11874,12770
4,24,vanilla,dory,11634535,12182,183324,15715188,47170,51042
4,24,jellyfish,mkzg,12845900,3702,104766,30797180,15490,16450
4,24,jellyfish,dory,18488678,12321,212412,21290840,51490,55362
4,25,vanilla,mkzg,14800390,3851,80796,30681464,12338,13266
4,25,vanilla,dory,20536808,12969,195672,21273592,50194,54354
4,25,jellyfish,mkzg,25409344,3807,109020,41855024,16082,17074
4,25,jellyfish,dory,33461705,13209,225816,32338900,54642,58802
4,26,vanilla,mkzg,29290529,3849,83994,41927664,12802,13762
4,26,vanilla,dory,39441158,13020,198678,32603772,50626,54786
4,26,jellyfish,mkzg,49555180,3745,113274,64023596,16674,17698
4,26,jellyfish,dory,65733885,13125,229878,54744680,55202,59362
2,22,vanilla,mkzg,3951446,3790,24960,22280720,10946,11778
2,22,vanilla,dory,6085662,11689,60404,13002008,43714,47298
2,22,jellyfish,mkzg,6529868,3729,33664,25259384,14306,15202
2,22,jellyfish,dory,9565054,11775,69748,15864720,47778,51362
2,23,vanilla,mkzg,7536095,3556,26038,25167680,11410,12274
2,23,vanilla,dory,11548576,11745,61418,15688896,44146,47730
2,23,jellyfish,mkzg,12660066,3852,35094,30798148,14898,15826
2,23,jellyfish,dory,18415760,11815,71114,21271764,48338,51922
2,24,vanilla,mkzg,14682145,3838,27116,30664448,11874,12770
2,24,vanilla,dory,20338377,12149,65558,21330012,47170,51042
2,24,jellyfish,mkzg,25015308,3568,36524,41854996,15490,16450
2,24,jellyfish,dory,33418319,12354,75606,32329264,51490,55362
2,25,vanilla,mkzg,29211153,3612,28194,41912460,12338,13266
2,25,vanilla,dory,39437766,12179,66572,32543064,47602,51474
2,25,jellyfish,mkzg,49671472,3868,37954,64031192,16082,17074
2,25,jellyfish,dory,65587240,12447,76972,54669324,52050,55922
2,26,vanilla,mkzg,57975041,3611,29272,64038848,12802,13762
2,26,vanilla,dory,71103960,13056,70712,54850056,50626,54786
2,26,jellyfish,mkzg,99369920,3724,39384,108284956,16674,17698
2,26,jellyfish,dory,121744061,13354,81464,99040512,55202,59362
