parties,nv,gate,prover_time,verifier_time,comm,mem,proof_size_compressed,proof_size_uncompressed
32,22,jellyfish,1984152,3503,126976,1134196,2772,3316
32,23,jellyfish,3765749,3489,126976,2244848,2772,3316
32,24,jellyfish,7168032,3484,126976,4454212,2772,3316
32,25,jellyfish,13761912,3471,126976,8825876,2772,3316
32,26,jellyfish,27678811,3470,126976,17444860,2772,3316
16,22,jellyfish,3743329,3506,61440,2231668,2772,3316
16,23,jellyfish,7161299,3474,61440,4389524,2772,3316
16,24,jellyfish,13676838,3437,61440,8801528,2772,3316
16,25,jellyfish,27548747,3479,61440,17412220,2772,3316
16,26,jellyfish,51547368,3448,61440,34722320,2772,3316
8,22,jellyfish,7068840,3486,28672,4456072,2772,3316
8,23,jellyfish,13640250,3437,28672,8797800,2772,3316
8,24,jellyfish,27401689,3464,28672,17420304,2772,3316
8,25,jellyfish,51217156,3428,28672,34819172,2772,3316
8,26,jellyfish,112268441,3529,28672,68311428,2772,3316
4,22,jellyfish,13634361,3464,12288,8823960,2772,3316
4,23,jellyfish,27494919,3466,12288,17636480,2772,3316
4,24,jellyfish,51025230,3393,12288,34784996,2772,3316
4,25,jellyfish,112470697,3444,12288,70164972,2772,3316
4,26,jellyfish,222786302,3430,12288,137474552,2772,3316
2,22,jellyfish,27174696,3397,4096,17390004,2772,3316
2,23,jellyfish,50564919,3352,4096,34691856,2772,3316
2,24,jellyfish,110213898,3423,4096,70338024,2772,3316
2,25,jellyfish,217398071,3441,4096,137448588,2772,3316
2,26,jellyfish,458460916,3439,4096,242893220,2772,3316
